% python hash_table3.py
Functional tests passed!
0 0.153641
1 0.156198
2 0.217243
3 0.108745
4 0.345341
5 0.108467
6 0.107698
7 0.110904
8 0.109853
9 0.614550
10 0.112218
11 0.110367
12 0.110201
13 0.110746
14 0.147178
15 0.109390
16 0.112310
17 0.110287
18 1.202261
19 0.111767
20 0.111930
21 0.159798
22 0.109200
23 0.109649
24 0.109529
25 0.108727
26 0.185823
27 0.111173
28 0.111424
29 0.112200
30 0.112400
31 0.111346
32 0.212169
33 0.118385
34 0.173619
35 0.115198
36 2.368234
37 0.111079
38 0.109446
39 0.110086
40 0.112141
41 0.111805
42 0.112137
43 0.110074
44 0.230266
45 0.110663
46 0.110112
47 0.109984
48 0.110943
49 0.112695
50 0.109447
51 0.111270
52 0.112834
53 0.111469
54 0.284197
55 0.110452
56 0.110128
57 0.112137
58 0.112023
59 0.111527
60 0.112585
61 0.112849
62 0.111452
63 0.110814
64 0.112426
65 0.113245
66 0.347372
67 0.110392
68 0.116698
69 0.111047
70 0.112134
71 0.111400
72 0.111608
73 4.716910
74 0.111768
75 0.112469
76 0.113421
77 0.111996
78 0.112831
79 0.111885
80 0.111262
81 0.110915
82 0.111685
83 0.112241
84 0.112257
85 0.111583
86 0.110791
87 0.110214
88 0.109879
89 0.110464
90 0.110031
91 0.111101
92 0.109931
93 0.110375
94 0.109633
95 0.392097
96 0.111150
97 0.109558
98 0.111750
99 0.109900
Performance tests passed!
